"Jaar","Maand","T"
1979,"8",15.9
1980,"8",17.4
1981,"8",17
1982,"8",17.1
1983,"8",18.6
1984,"8",18.5
1985,"8",16.3
1986,"8",16.1
1987,"8",16.7
1988,"8",17.4
1989,"8",18.2
1990,"8",19.7
1991,"8",19
1992,"8",18.1
1993,"8",15.9
1994,"8",17.8
1995,"8",20.4
1996,"8",17.3
1997,"8",21.2
1998,"8",17.4
1999,"8",18.1
2000,"8",18.4
2001,"8",19.2
2002,"8",18.6
2003,"8",20.4
2004,"8",18.9
2005,"8",16.8
2006,"8",16.3
2007,"8",17.2
2008,"8",17.6
2009,"8",19.4
2010,"8",17
2011,"8",17.3
2012,"8",19.2
2013,"8",18.7
2014,"8",16.2
1833,"9",12
1834,"9",15.6
1835,"9",13.8
1836,"9",12.5
1837,"9",12
1838,"9",13.4
1839,"9",14.1
1840,"9",12.7
1841,"9",15.5
1842,"9",13.3
1843,"9",14.7
1844,"9",13.5
1845,"9",11.7
1846,"9",15.2
1847,"9",11.5
1848,"9",12.5
1849,"9",13.6
1850,"9",11.8
1851,"9",12.1
1852,"9",13.7
1853,"9",13.6
1854,"9",13.6
1855,"9",13.2
1856,"9",12.3
1857,"9",15.6
1858,"9",15.4
1859,"9",13.7
1860,"9",12.2
1861,"9",13.4
1862,"9",14.2
1863,"9",12.1
1864,"9",13.6
1865,"9",16.1
1866,"9",13.8
1867,"9",14.3
1868,"9",14.7
1869,"9",14.5
1870,"9",12.2
1871,"9",14.2
1872,"9",13.7
1873,"9",12.1
1874,"9",14.4
1875,"9",14.7
1876,"9",12.4
1877,"9",11.3
1878,"9",13.8
1879,"9",13.4
1880,"9",14.7
1881,"9",12.9
1882,"9",12.7
1883,"9",13.2
1884,"9",14.7
1885,"9",12.6
1886,"9",15.7
1887,"9",11.8
1888,"9",12.8
1889,"9",12.3
1890,"9",14.1
1891,"9",14.6
1892,"9",13.8
1893,"9",13
1894,"9",12
1895,"9",16.8
1896,"9",13.7
1897,"9",12.3
1898,"9",15.4
1899,"9",13.7
1900,"9",14.1
1901,"9",14.3
1902,"9",13.4
1903,"9",14.7
1904,"9",12.3
1905,"9",13.1
1906,"9",13.7
1907,"9",14.7
1908,"9",13.9
1909,"9",13.2
1910,"9",13.8
1911,"9",16.1
1912,"9",10.7
1913,"9",14.4
1914,"9",14.1
1915,"9",13.6
1916,"9",13.8
1917,"9",15.2
1918,"9",13.9
1919,"9",15.1
1920,"9",13.7
1921,"9",15.4
1922,"9",12.5
1923,"9",13.6
1924,"9",14.1
1925,"9",11.5
1926,"9",15.8
1927,"9",14.1
1928,"9",13.3
1929,"9",16.9
1930,"9",14.3
1931,"9",11.6
1932,"9",15.2
1933,"9",15
1934,"9",16.7
1935,"9",14.4
1936,"9",14.6
1937,"9",13.7
1938,"9",15.1
1939,"9",14.6
1940,"9",13.4
1941,"9",14.7
1942,"9",15.2
1943,"9",14
1944,"9",13.4
1945,"9",14.9
1946,"9",14.7
1947,"9",17
1948,"9",14.2
1949,"9",17.7
1950,"9",13.1
1951,"9",15.2
1952,"9",11.2
1953,"9",14.3
1954,"9",13.7
1955,"9",14.6
1956,"9",15.3
1957,"9",13.2
1958,"9",16
1959,"9",16
1960,"9",13.7
1961,"9",17.3
1962,"9",13.6
1963,"9",14.1
1964,"9",15
1965,"9",13.3
1966,"9",14.5
1967,"9",14.3
1968,"9",14.4
1969,"9",14.9
1970,"9",15.2
1971,"9",14.1
1972,"9",12
1973,"9",15.2
1974,"9",12.8
1975,"9",15.1
1976,"9",14.2
1977,"9",13.2
1978,"9",13.4
1979,"9",14.3
1980,"9",15.8
1981,"9",15.1
1982,"9",16.9
1983,"9",14.6
1984,"9",13.5
1985,"9",15
1986,"9",11.7
1987,"9",15.6
1988,"9",14
1989,"9",15.8
1990,"9",13
1991,"9",16.3
1992,"9",14.6
1993,"9",13.6
1994,"9",13.5
1995,"9",14
1996,"9",12.9
1997,"9",14.8
1998,"9",15.3
1999,"9",17.7
2000,"9",16.1
2001,"9",12.9
2002,"9",14.7
2003,"9",15.3
2004,"9",15.8
2005,"9",16.6
2006,"9",18.4
2007,"9",14.1
2008,"9",14
2009,"9",15.8
2010,"9",14.2
2011,"9",16.5
2012,"9",14.5
2013,"9",14.8
2014,"9",16.5
1833,"10",9.2
1834,"10",10.5
1835,"10",8.7
1836,"10",10.6
1837,"10",10.3
1838,"10",9.5
1839,"10",10
1840,"10",7.6
1841,"10",9.5
1842,"10",7
1843,"10",9.2
1844,"10",8.8
1845,"10",9.5
1846,"10",10.1
1847,"10",9.4
1848,"10",10.3
1849,"10",9.2
1850,"10",6.8
1851,"10",10.2
1852,"10",8
1853,"10",10.4
1854,"10",9.4
1855,"10",10.8
1856,"10",10
1857,"10",11
1858,"10",9.4
1859,"10",10.8
1860,"10",9.3
1861,"10",10.8
1862,"10",10.9
1863,"10",11.2
1864,"10",8.3
1865,"10",10.3
1866,"10",9
1867,"10",8.9
1868,"10",8.4
1869,"10",8.4
1870,"10",8.6
1871,"10",7.5
1872,"10",9.1
1873,"10",9.5
1874,"10",10.4
1875,"10",7.9
1876,"10",11
1877,"10",8.3
1878,"10",9.5
1879,"10",8.5
1880,"10",8.1
1881,"10",5.7
1882,"10",10
1883,"10",9.2
1884,"10",8.4
1885,"10",7.3
1886,"10",11.4
1887,"10",6.1
1888,"10",7.4
1889,"10",8.6
1890,"10",8.6
1891,"10",10.5
1892,"10",7.9
1893,"10",10
1894,"10",8.6
1895,"10",8
1896,"10",7.8
1897,"10",9.4
1898,"10",10.6
1899,"10",8.9
1900,"10",9.6
1901,"10",9.9
1902,"10",8.4
1903,"10",11.1
1904,"10",9.4
1905,"10",5.9
1906,"10",12.3
1907,"10",11.3
1908,"10",11.1
1909,"10",11.3
1910,"10",11.2
1911,"10",10.1
1912,"10",8.6
1913,"10",11.6
1914,"10",9.6
1915,"10",8.2
1916,"10",10.3
1917,"10",8.1
1918,"10",9
1919,"10",7.1
1920,"10",9.9
1921,"10",14
1922,"10",6.5
1923,"10",11.1
1924,"10",10.8
1925,"10",10.3
1926,"10",8.7
1927,"10",10.5
1928,"10",9.9
1929,"10",9.9
1930,"10",10.6
1931,"10",9
1932,"10",9.4
1933,"10",10
1934,"10",11.2
1935,"10",9.6
1936,"10",8.1
1937,"10",11.2
1938,"10",9.7
1939,"10",8.2
1940,"10",9.4
1941,"10",9.5
1942,"10",12.2
1943,"10",11.7
1944,"10",9.2
1945,"10",11.7
1946,"10",9.4
1947,"10",10.1
1948,"10",9.6
1949,"10",11.8
1950,"10",9.4
1951,"10",8.8
1952,"10",8.6
1953,"10",11.6
1954,"10",11.8
1955,"10",9.2
1956,"10",9.7
1957,"10",10.5
1958,"10",10.6
1959,"10",11.7
1960,"10",10.6
1961,"10",11.5
1962,"10",10.6
1963,"10",10.1
1964,"10",8
1965,"10",10.9
1966,"10",11.8
1967,"10",11.8
1968,"10",12.1
1969,"10",12.6
1970,"10",10.7
1971,"10",10.5
1972,"10",9.3
1973,"10",9.3
1974,"10",6.8
1975,"10",8.8
1976,"10",11.4
1977,"10",11.8
1978,"10",11.3
1979,"10",11.6
1980,"10",9.1
1981,"10",9
1982,"10",10.9
1983,"10",10.9
1984,"10",11.4
1985,"10",10.9
1986,"10",12
1987,"10",11.4
1988,"10",11.5
1989,"10",12.7
1990,"10",12.6
1991,"10",10.6
1992,"10",7.8
1993,"10",9.2
1994,"10",10
1995,"10",13.7
1996,"10",10.9
1997,"10",10.3
1998,"10",9.7
1999,"10",10.7
2000,"10",11.3
2001,"10",14.4
2002,"10",10.5
2003,"10",7.9
2004,"10",11.7
2005,"10",14.1
2006,"10",14.2
2007,"10",10.4
2008,"10",10.5
2009,"10",11.3
2010,"10",10.6
2011,"10",12.1
2012,"10",11.1
2013,"10",12.8
2014,"10",13.6
1833,"11",4.7
1834,"11",5.7
1835,"11",4.3
1836,"11",6
1837,"11",4.6
1838,"11",5
1839,"11",7
1840,"11",6.9
1841,"11",5.1
1842,"11",3.4
1843,"11",6.1
1844,"11",5.9
1845,"11",6.9
1846,"11",4.7
1847,"11",6.9
1848,"11",5.1
1849,"11",4.4
1850,"11",6.9
1851,"11",2.5
1852,"11",9.2
1853,"11",3.8
1854,"11",3.9
1855,"11",3.5
1856,"11",2.7
1857,"11",5.8
1858,"11",0.9
1859,"11",3.8
1860,"11",2.7
1861,"11",4.5
1862,"11",4.2
1863,"11",5.6
1864,"11",3.1
1865,"11",6.8
1866,"11",6.4
1867,"11",5
1868,"11",4.1
1869,"11",5.5
1870,"11",4.8
1871,"11",1.7
1872,"11",7
1873,"11",5.6
1874,"11",3.9
1875,"11",4.4
1876,"11",5.2
1877,"11",7.2
1878,"11",3.8
1879,"11",2.7
1880,"11",4.6
1881,"11",8.2
1882,"11",5.5
1883,"11",5.6
1884,"11",3.8
1885,"11",4.2
1886,"11",6.5
1887,"11",3.9
1888,"11",6.3
1889,"11",5.2
1890,"11",4.7
1891,"11",4.1
1892,"11",6.9
1893,"11",3.6
1894,"11",6.8
1895,"11",7.5
1896,"11",2
1897,"11",5
1898,"11",6.8
1899,"11",8.2
1900,"11",6.3
1901,"11",4.3
1902,"11",4.7
1903,"11",5.8
1904,"11",4.9
1905,"11",4.3
1906,"11",7.4
1907,"11",6.6
1908,"11",5.2
1909,"11",3.8
1910,"11",3.8
1911,"11",6
1912,"11",5.2
1913,"11",8.7
1914,"11",5.1
1915,"11",2.7
1916,"11",5.9
1917,"11",7.2
1918,"11",4.8
1919,"11",2.5
1920,"11",4.1
1921,"11",1.8
1922,"11",4.3
1923,"11",3.3
1924,"11",5.7
1925,"11",2.7
1926,"11",7.4
1927,"11",4.9
1928,"11",7.7
1929,"11",6.5
1930,"11",7.6
1931,"11",7.6
1932,"11",5.8
1933,"11",4.4
1934,"11",5.4
1935,"11",7.4
1936,"11",5.5
1937,"11",4.7
1938,"11",9
1939,"11",8.1
1940,"11",7.1
1941,"11",5.4
1942,"11",5.3
1943,"11",4.6
1944,"11",6.3
1945,"11",5.2
1946,"11",6.8
1947,"11",6.8
1948,"11",6.1
1949,"11",5
1950,"11",6.1
1951,"11",8.5
1952,"11",3.4
1953,"11",6.4
1954,"11",7
1955,"11",6.4
1956,"11",4.8
1957,"11",6.1
1958,"11",5.1
1959,"11",5.8
1960,"11",7.7
1961,"11",5.3
1962,"11",4.8
1963,"11",8.8
1964,"11",6.5
1965,"11",3.9
1966,"11",4.7
1967,"11",4.8
1968,"11",5.1
1969,"11",6.3
1970,"11",8.3
1971,"11",4.9
1972,"11",5.5
1973,"11",5.3
1974,"11",6.7
1975,"11",5.1
1976,"11",6.4
1977,"11",6.4
1978,"11",6
1979,"11",5.7
1980,"11",4.7
1981,"11",6.8
1982,"11",8.1
1983,"11",6.6
1984,"11",9.4
1985,"11",2.8
1986,"11",8
1987,"11",6
1988,"11",5.8
1989,"11",5.9
1990,"11",6.2
1991,"11",5.8
1992,"11",7.6
1993,"11",2.8
1994,"11",10.4
1995,"11",7.1
1996,"11",5.3
1997,"11",7.3
1998,"11",3.7
1999,"11",6.2
2000,"11",7.9
2001,"11",6.2
2002,"11",8.6
2003,"11",8.3
2004,"11",6.4
2005,"11",6.1
2006,"11",9.1
2007,"11",6.8
2008,"11",6.9
2009,"11",9.7
2010,"11",6.1
2011,"11",8.6
2012,"11",7.1
2013,"11",6.4
2014,"11",8.8
1833,"12",5.9
1834,"12",4.2
1835,"12",0.9
1836,"12",3.2
1837,"12",3.7
1838,"12",1.9
1839,"12",4.6
1840,"12",-3.1
1841,"12",4
1842,"12",3.7
1843,"12",4
1844,"12",-2.4
1845,"12",4.1
1846,"12",-2.4
1847,"12",1.7
1848,"12",4.1
1849,"12",1.6
1850,"12",2.8
1851,"12",2.6
1852,"12",6.9
1853,"12",-3.3
1854,"12",4
1855,"12",-0.3
1856,"12",3.4
1857,"12",4.3
1858,"12",3.2
1859,"12",-0.3
1860,"12",0.7
1861,"12",2.7
1862,"12",4.5
1863,"12",4.6
1864,"12",-0.7
1865,"12",2.6
1866,"12",3.9
1867,"12",0.2
1868,"12",7
1869,"12",1.3
1870,"12",-1.8
1871,"12",-0.6
1872,"12",5.6
1873,"12",3.1
1874,"12",-0.6
1875,"12",0.9
1876,"12",5.4
1877,"12",2.5
1878,"12",0.1
1879,"12",-5.6
1880,"12",5.8
1881,"12",2.3
1882,"12",3.1
1883,"12",2.7
1884,"12",3
1885,"12",1.4
1886,"12",1.7
1887,"12",0.6
1888,"12",3.8
1889,"12",-0.2
1890,"12",-4.6
1891,"12",3.9
1892,"12",0
1893,"12",2.4
1894,"12",3.8
1895,"12",2
1896,"12",2.3
1897,"12",3.4
1898,"12",5.3
1899,"12",-1.2
1900,"12",5.3
1901,"12",2.8
1902,"12",1.5
1903,"12",0.8
1904,"12",4.4
1905,"12",2.6
1906,"12",0.3
1907,"12",3.6
1908,"12",1.3
1909,"12",3.6
1910,"12",5.9
1911,"12",5.9
1912,"12",5.8
1913,"12",3.4
1914,"12",5.2
1915,"12",6.3
1916,"12",2.8
1917,"12",-0.2
1918,"12",6.3
1919,"12",4.4
1920,"12",2.6
1921,"12",3.3
1922,"12",4.5
1923,"12",1.3
1924,"12",4
1925,"12",2.5
1926,"12",1.8
1927,"12",-0.6
1928,"12",2.6
1929,"12",5.8
1930,"12",2.9
1931,"12",2.8
1932,"12",4.4
1933,"12",-2.7
1934,"12",7.5
1935,"12",2.6
1936,"12",3.4
1937,"12",2
1938,"12",1.2
1939,"12",1.2
1940,"12",0.3
1941,"12",4.1
1942,"12",4.4
1943,"12",1.7
1944,"12",2.7
1945,"12",3.8
1946,"12",0.1
1947,"12",3.9
1948,"12",4.1
1949,"12",3.9
1950,"12",-1.2
1951,"12",4.5
1952,"12",1.8
1953,"12",6.1
1954,"12",5.7
1955,"12",4.9
1956,"12",5.6
1957,"12",2.9
1958,"12",4.6
1959,"12",5
1960,"12",3
1961,"12",2.6
1962,"12",0.5
1963,"12",-0.5
1964,"12",2.3
1965,"12",4.7
1966,"12",4.7
1967,"12",2.4
1968,"12",0.3
1969,"12",-0.5
1970,"12",2.3
1971,"12",5.1
1972,"12",4.6
1973,"12",3
1974,"12",7
1975,"12",2.4
1976,"12",1.2
1977,"12",5.4
1978,"12",3.2
1979,"12",5.6
1980,"12",3.2
1981,"12",1.1
1982,"12",3.6
1983,"12",4.2
1984,"12",4.3
1985,"12",5.7
1986,"12",4.8
1987,"12",4.1
1988,"12",6.9
1989,"12",5.2
1990,"12",3.5
1991,"12",3.6
1992,"12",3.8
1993,"12",5.1
1994,"12",5.5
1995,"12",0.8
1996,"12",0.7
1997,"12",5.1
1998,"12",4.6
1999,"12",4.2
2000,"12",5.6
2001,"12",3.3
2002,"12",4.4
2003,"12",4.5
2004,"12",2.9
2005,"12",3.5
2006,"12",5.9
2007,"12",4.1
2008,"12",2.8
2009,"12",2.9
2010,"12",-0.7
2011,"12",6.1
2012,"12",5.1
2013,"12",6.1
2014,"12",4.3
