"Jaar","Maand","T"
1929,"2",-3.6
1930,"2",2.1
1931,"2",1.8
1932,"2",0.9
1933,"2",3.1
1934,"2",2.8
1935,"2",4.4
1936,"2",2.5
1937,"2",5.5
1938,"2",3.2
1939,"2",4.1
1940,"2",1.4
1941,"2",2.7
1942,"2",-3.5
1943,"2",4.4
1944,"2",0.9
1945,"2",6.5
1946,"2",4.9
1947,"2",-3.2
1948,"2",3.2
1949,"2",4.7
1950,"2",6.1
1951,"2",4.2
1952,"2",1.8
1953,"2",2.4
1954,"2",0.8
1955,"2",0.7
1956,"2",-6.1
1957,"2",5.9
1958,"2",4.6
1959,"2",1.7
1960,"2",4
1961,"2",7.2
1962,"2",2.7
1963,"2",-2
1964,"2",4.7
1965,"2",1.6
1966,"2",6.6
1967,"2",5.6
1968,"2",1.9
1969,"2",0.8
1970,"2",2.1
1971,"2",3.9
1972,"2",4.5
1973,"2",3
1974,"2",4.8
1975,"2",4.2
1976,"2",3.4
1977,"2",5.2
1978,"2",2.2
1979,"2",0.3
1980,"2",5.9
1981,"2",1.7
1982,"2",4.1
1983,"2",0.9
1984,"2",2.7
1985,"2",0.2
1986,"2",-3.2
1987,"2",2.5
1988,"2",4.4
1989,"2",5.2
1990,"2",7.9
1991,"2",0
1992,"2",5
1993,"2",2.2
1994,"2",2.8
1995,"2",6.8
1996,"2",1.3
1997,"2",6.5
1998,"2",6.2
1999,"2",3.1
2000,"2",5.9
2001,"2",4.8
2002,"2",7.2
2003,"2",2.8
2004,"2",5
2005,"2",2.4
2006,"2",2.3
2007,"2",6.8
2008,"2",6.1
2009,"2",3.6
2010,"2",2.5
2011,"2",5.4
2012,"2",0.7
2013,"2",1.4
2014,"2",6.6
1833,"3",2.2
1834,"3",6
1835,"3",4.4
1836,"3",7.9
1837,"3",1.3
1838,"3",5
1839,"3",3.8
1840,"3",1.7
1841,"3",7.8
1842,"3",5.7
1843,"3",5
1844,"3",4.2
1845,"3",-1.6
1846,"3",6.1
1847,"3",3.8
1848,"3",5.8
1849,"3",3.8
1850,"3",2.7
1851,"3",5.1
1852,"3",3.2
1853,"3",0.8
1854,"3",5.6
1855,"3",2.7
1856,"3",3.3
1857,"3",4.6
1858,"3",3.3
1859,"3",7
1860,"3",3
1861,"3",5.8
1862,"3",7.6
1863,"3",5.7
1864,"3",5.7
1865,"3",1
1866,"3",4.3
1867,"3",2.7
1868,"3",6
1869,"3",2.3
1870,"3",3.4
1871,"3",6.6
1872,"3",6.8
1873,"3",5.8
1874,"3",5
1875,"3",3
1876,"3",5
1877,"3",3.8
1878,"3",4.1
1879,"3",4.1
1880,"3",6.7
1881,"3",5.3
1882,"3",7.3
1883,"3",0.8
1884,"3",6.2
1885,"3",3.4
1886,"3",3.6
1887,"3",1.8
1888,"3",2.1
1889,"3",2.8
1890,"3",5.4
1891,"3",4.1
1892,"3",2
1893,"3",6.9
1894,"3",6.5
1895,"3",3.6
1896,"3",7.1
1897,"3",6.8
1898,"3",3.1
1899,"3",4
1900,"3",3
1901,"3",3.2
1902,"3",6
1903,"3",7.4
1904,"3",3.7
1905,"3",6.5
1906,"3",4.1
1907,"3",5.5
1908,"3",3.7
1909,"3",3.7
1910,"3",6
1911,"3",5.7
1912,"3",7.7
1913,"3",7.6
1914,"3",6.4
1915,"3",4.4
1916,"3",5.1
1917,"3",2.5
1918,"3",5.7
1919,"3",4.6
1920,"3",7.9
1921,"3",7.3
1922,"3",4.6
1923,"3",7.4
1924,"3",4.4
1925,"3",3.6
1926,"3",6.2
1927,"3",7.2
1928,"3",6
1929,"3",5.6
1930,"3",6.1
1931,"3",3.8
1932,"3",4.1
1933,"3",7.9
1934,"3",4.9
1935,"3",5.6
1936,"3",7.4
1937,"3",3.8
1938,"3",8.7
1939,"3",4.6
1940,"3",6.2
1941,"3",6
1942,"3",5.2
1943,"3",7
1944,"3",3.3
1945,"3",8.1
1946,"3",5.3
1947,"3",5.1
1948,"3",8.5
1949,"3",4.1
1950,"3",7.1
1951,"3",4.5
1952,"3",6.4
1953,"3",5.8
1954,"3",7
1955,"3",2.7
1956,"3",6.1
1957,"3",9.5
1958,"3",3.3
1959,"3",7.9
1960,"3",6.9
1961,"3",8
1962,"3",2.7
1963,"3",5.9
1964,"3",3.4
1965,"3",5.8
1966,"3",5.5
1967,"3",7
1968,"3",6.4
1969,"3",4.6
1970,"3",3.4
1971,"3",3.2
1972,"3",7.7
1973,"3",5.9
1974,"3",6.3
1975,"3",4.7
1976,"3",4.1
1977,"3",7.6
1978,"3",6.8
1979,"3",5.1
1980,"3",5.4
1981,"3",9.1
1982,"3",5.8
1983,"3",6.3
1984,"3",4.7
1985,"3",4.2
1986,"3",4.8
1987,"3",3.1
1988,"3",5.4
1989,"3",9.1
1990,"3",8.7
1991,"3",9.5
1992,"3",7.3
1993,"3",6.8
1994,"3",7.8
1995,"3",5.7
1996,"3",3.9
1997,"3",8.6
1998,"3",7.7
1999,"3",7.9
2000,"3",7.1
2001,"3",6.5
2002,"3",7.8
2003,"3",8.8
2004,"3",6.6
2005,"3",7.2
2006,"3",4.5
2007,"3",8
2008,"3",6.3
2009,"3",6.7
2010,"3",6.7
2011,"3",7.7
2012,"3",8.9
2013,"3",3
2014,"3",9.3
1833,"4",7.7
1834,"4",6.8
1835,"4",7.7
1836,"4",7.1
1837,"4",4.3
1838,"4",5.7
1839,"4",5
1840,"4",9.3
1841,"4",8.4
1842,"4",6.7
1843,"4",8.6
1844,"4",10.3
1845,"4",8.5
1846,"4",8.7
1847,"4",5.3
1848,"4",9.8
1849,"4",7.3
1850,"4",9.4
1851,"4",8.2
1852,"4",6.1
1853,"4",7.2
1854,"4",8.9
1855,"4",6.6
1856,"4",8.6
1857,"4",7.7
1858,"4",8.5
1859,"4",7.9
1860,"4",6.1
1861,"4",6.3
1862,"4",10
1863,"4",9.2
1864,"4",7.5
1865,"4",11.5
1866,"4",9.7
1867,"4",8.9
1868,"4",8.1
1869,"4",10.7
1870,"4",8.6
1871,"4",7.9
1872,"4",9
1873,"4",7.5
1874,"4",9.4
1875,"4",7.6
1876,"4",8.4
1877,"4",7.5
1878,"4",9.5
1879,"4",6.4
1880,"4",8.6
1881,"4",6.8
1882,"4",8.1
1883,"4",8
1884,"4",6.8
1885,"4",9
1886,"4",8.1
1887,"4",6.6
1888,"4",5.6
1889,"4",7
1890,"4",6.8
1891,"4",5.8
1892,"4",7.7
1893,"4",11.1
1894,"4",11.3
1895,"4",8.8
1896,"4",7.1
1897,"4",7.8
1898,"4",8.2
1899,"4",7.6
1900,"4",7.4
1901,"4",9
1902,"4",8.8
1903,"4",5.3
1904,"4",9.5
1905,"4",7.3
1906,"4",7.9
1907,"4",7.5
1908,"4",6.2
1909,"4",9.7
1910,"4",8
1911,"4",7.6
1912,"4",9
1913,"4",9
1914,"4",11.1
1915,"4",7.8
1916,"4",9.1
1917,"4",4.6
1918,"4",8.1
1919,"4",6.5
1920,"4",9.3
1921,"4",8.9
1922,"4",6.4
1923,"4",8.4
1924,"4",7.4
1925,"4",8.3
1926,"4",10.1
1927,"4",8.2
1928,"4",8.5
1929,"4",6
1930,"4",9.5
1931,"4",7.7
1932,"4",7.4
1933,"4",8.8
1934,"4",10.8
1935,"4",7.9
1936,"4",6.4
1937,"4",9.1
1938,"4",6.3
1939,"4",9.9
1940,"4",9.3
1941,"4",7.3
1942,"4",9.9
1943,"4",11.2
1944,"4",10.2
1945,"4",10.7
1946,"4",10.7
1947,"4",10.5
1948,"4",10
1949,"4",11.2
1950,"4",8
1951,"4",7.8
1952,"4",11.5
1953,"4",9.4
1954,"4",7.3
1955,"4",9.2
1956,"4",6.6
1957,"4",8.8
1958,"4",6.9
1959,"4",10.3
1960,"4",9.2
1961,"4",11.7
1962,"4",8.7
1963,"4",9.5
1964,"4",9.3
